name;openinggross;theathers;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;genres;director_identifier;primaryName;primaryProfession;knownForTitles
Unbreakable;$30,330,771;2,708;tt0217869;movie;Unbreakable;FALSE;2000;106;Drama,Mystery,Sci-Fi;nm0796117;M. Night Shyamalan;producer,director,writer;tt0286106,tt0167404,tt0452637,tt0368447
Maze Runner: The Scorch Trials;$30,316,510;3,791;tt4046784;movie;Maze Runner: The Scorch Trials;FALSE;2015;131;Action,Adventure,Sci-Fi;nm1226871;Wes Ball;art_department,director,visual_effects;tt4500922,tt1532503,tt4046784,tt1790864
Cloudy with a Chance of Meatballs;$30,304,648;3,119;tt0844471;movie;Cloudy with a Chance of Meatballs;FALSE;2009;90;Adventure,Animation,Comedy;nm0520488,nm0588087;NA;NA;NA
The Addams Family;$30,300,007;4,007;tt0101272;movie;The Addams Family;FALSE;1991;99;Comedy,Fantasy;nm0001756;Barry Sonnenfeld;producer,director,cinematographer;tt0106220,tt0120891,tt0119654,tt1409024
America's Sweethearts;$30,181,877;3,011;tt0265029;movie;America's Sweethearts;FALSE;2001;102;Comedy,Romance;nm0005387;Joe Roth;producer,director,miscellaneous;tt1587310,tt0356618,tt0314353,tt0427309
John Carter;$30,180,188;3,749;tt0401729;movie;John Carter;FALSE;2012;132;Action,Adventure,Sci-Fi;nm0004056;Andrew Stanton;writer,actor,producer;tt0120623,tt2277860,tt0910970,tt0266543
The Lion King2011 3D Release;$30,151,614;2,330;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
The X Files;$30,138,758;2,629;tt0120902;movie;The X Files;FALSE;1998;121;Drama,Mystery,Sci-Fi;nm0101385;Rob Bowman;producer,director,actor;tt0106179,tt0253556,tt0120902,tt0357277
Django Unchained;$30,122,888;3,010;tt1853728;movie;Django Unchained;FALSE;2012;165;Drama,Western;nm0000233;Quentin Tarantino;writer,actor,producer;tt0110912,tt7131622,tt0116367,tt0105236
Shazam! Fury of the Gods;$30,111,158;4,071;tt10151854;movie;Shazam! Fury of the Gods;FALSE;2023;130;Action,Adventure,Comedy;nm2497546;David F. Sandberg;director,writer,actor;tt0448115,tt0932674,tt5140878,tt4786282
The Best Man Holiday;$30,107,555;2,024;tt2083355;movie;The Best Man Holiday;FALSE;2013;123;Comedy,Drama;nm0002700;Malcolm D. Lee;writer,director,producer;tt0168501,tt2083355,tt3564472,tt14022728
Trainwreck;$30,097,040;3,158;tt3152624;movie;Trainwreck;FALSE;2015;125;Comedy,Drama,Romance;nm0031976;Judd Apatow;producer,writer,director;tt0478311,tt0405422,tt9686708,tt1723816
Prince of Persia: The Sands of Time;$30,095,259;3,646;tt0473075;movie;Prince of Persia: The Sands of Time;FALSE;2010;116;Action,Adventure,Fantasy;nm0001565;Mike Newell;director,producer,executive;tt0119008,tt0330373,tt0104522,tt0109831
Dodgeball: A True Underdog Story;$30,070,196;2,694;tt0364725;movie;Dodgeball: A True Underdog Story;FALSE;2004;92;Comedy,Sport;nm1098493;Rawson Marshall Thurber;director,producer,writer;tt1282140,tt5758778,tt7991608,tt0364725
A Series of Unfortunate Events;$30,061,756;3,620;tt0339291;movie;A Series of Unfortunate Events;FALSE;2004;108;Adventure,Comedy,Family;nm0797869;Brad Silberling;producer,director,writer;tt0179098,tt0120632,tt0112642,tt0339291
Sleepy Hollow;$30,060,467;3,064;tt0162661;movie;Sleepy Hollow;FALSE;1999;105;Fantasy,Horror,Mystery;nm0000318;Tim Burton;producer,miscellaneous,director;tt0099487,tt1142977,tt0408236,tt0121164
Panic Room;$30,056,751;3,053;tt0258000;movie;Panic Room;FALSE;2002;112;Crime,Drama,Thriller;nm0000399;David Fincher;producer,director,writer;tt0443706,tt2267998,tt1285016,tt0114369
The Exorcism of Emily Rose;$30,054,300;2,981;tt0404032;movie;The Exorcism of Emily Rose;FALSE;2005;119;Drama,Horror,Thriller;nm0220600;Scott Derrickson;producer,director,writer;tt7144666,tt2377322,tt1922777,tt1211837
Saw V;$30,053,954;3,060;tt1132626;movie;Saw V;FALSE;2008;92;Horror,Thriller;nm0352524;David Hackl;production_designer,director,producer;tt1132626,tt7615052,tt1694021,tt3727202
Catch Me If You Can;$30,053,627;3,156;tt0097029;movie;Catch Me If You Can;FALSE;1989;106;Action,Comedy,Drama;nm0814085;Stephen Sommers;producer,writer,director;tt0120616,tt0338526,tt1046173,tt1767354
A Christmas Carol;$30,051,075;3,683;tt0029992;movie;A Christmas Carol;FALSE;1938;69;Drama,Family,Fantasy;nm0547446;Edwin L. Marin;director,assistant_director,producer;tt0024635,tt0024904,tt0034902,tt0034002
Men in Black: International;$30,035,838;4,224;tt2283336;movie;Men in Black: International;FALSE;2019;114;Action,Adventure,Comedy;nm0336620;F. Gary Gray;director,producer,actor;tt0113118,tt0120768,tt0117603,tt0317740
Madea's Family Reunion;$30,030,661;2,194;tt0455612;movie;Madea's Family Reunion;FALSE;2006;107;Comedy,Drama,Romance;nm1347153;Tyler Perry;writer,director,producer;tt0422093,tt0455612,tt1142800,tt2267998
Bullet Train;$30,030,156;4,357;tt0080479;movie;Shinkansen daibakuha;FALSE;1975;152;Action,Crime,Drama;nm0766220;Jun'ya Satô;director,writer,assistant_director;tt0204007,tt0080479,tt0095071,tt0451845
Scream;$30,018,805;3,664;tt0086262;movie;Scream;FALSE;1981;82;Horror,Mystery;nm0704434;Byron Quisenberry;stunts,director,actor;tt0407581,tt0086262,tt0089907,tt0097889
