movie;openinggross;theathers;runtimeMinutes;genres;director_identifier;primaryProfession;runtime_dummy;director_count;directed_above_median
Van Helsing;51748040;3,575;131;Action,Adventure,Fantasy;nm0814085;producer,writer,director;1;4;1
8 Mile;51240555;2,470;110;Drama,Music;nm0000436;director,producer,writer;0;1;0
Men in Black;51068455;3,020;98;Action,Adventure,Comedy;nm0001756;producer,director,cinematographer;0;5;1
Bohemian Rhapsody;51061119;4,000;134;Biography,Drama,Music;nm0001741;producer,director,actor;1;7;1
Prometheus;51050101;3,396;130;Drama,Family,Fantasy;nm0365912;writer,director;1;1;0
Wanted;50927085;3,175;107;Action,Drama,Romance;nm0275034;director,writer,editor;0;1;0
Jurassic Park III;50771645;3,434;92;Action,Adventure,Sci-Fi;nm0002653;director,visual_effects,producer;0;3;1
The Village;50746142;3,730;98;Drama;nm0512548;director,writer,miscellaneous;0;1;0
Lightyear;50577961;4,255;105;Action,Adventure,Animation;nm0533691;animation_department,actor,director;0;1;0
Dunkirk;50513488;3,720;135;Action,Drama,History;nm0635554;director,editor,producer;1;1;0
2 Fast 2 Furious;50472480;3,408;107;Action,Crime,Thriller;nm0005436;producer,writer,director;0;2;0
Jackass 3D;50353641;3,081;94;Action,Comedy,Documentary;nm0871860;writer,producer,director;0;5;1
Mr. & Mrs. Smith;50342878;3,424;95;Comedy,Romance;nm0000033;director,producer,writer;0;1;0
Rush Hour 3;50237000;3,778;91;Action,Comedy,Crime;nm0711840;producer,director,music_department;0;5;1
Independence Day;50228264;2,882;87;Drama;nm0744794;director,producer,writer;0;1;0
A Quiet Place;50203562;3,508;80;Documentary;nm5123883;director,writer,assistant_director;0;1;0
The Boss Baby;50198902;3,773;97;Adventure,Animation,Comedy;nm0569891;writer,actor,animation_department;0;2;0
The Great Gatsby;50085185;3,535;80;Drama;nm0107543;director,writer,actor;0;1;0
Scary Movie 3;49700000;3,505;84;Comedy;nm0001878;writer,producer,director;0;2;0
Taken 2;49514769;3,661;92;Action,Crime,Thriller;nm0576298;director,writer,assistant_director;0;2;0
How to Train Your Dragon 2;49451322;4,253;102;Action,Adventure,Animation;nm0213450;writer,art_department,animation_department;0;2;0
Halloween Kills;49404980;3,705;105;Action,Horror,Thriller;nm0337773;producer,director,writer;0;3;1
Wreck-It Ralph;49038712;3,752;101;Adventure,Animation,Comedy;nm0601781;miscellaneous,director,producer;0;1;0
Neighbors;49033915;3,279;50;Comedy,Drama;nm0186345;actor,director,writer;0;1;0
Alvin and the Chipmunks: The Squeakquel;48875415;3,700;88;Adventure,Animation,Comedy;nm0858525;actress,director,producer;0;1;0
Tangled;48767052;3,603;95;Drama;nm1369904;producer,director,writer;0;1;0
Batman Begins;48745440;3,858;140;Action,Crime,Drama;nm0634240;writer,producer,director;1;6;1
Hotel Transylvania 2;48464322;3,754;73;Adult;nm0211487;director,producer,cinematographer;0;2;0
The Fault in Our Stars;48002523;3,173;126;Drama,Romance;nm1837748;writer,producer,director;1;1;0
Godzilla: King of the Monsters;47776293;4,108;132;Action,Adventure,Fantasy;nm1002424;writer,director,actor;1;1;0
Mission: Impossible III;47743273;4,054;126;Action,Adventure,Thriller;nm0009190;producer,writer,music_department;1;6;1
Lara Croft: Tomb Raider;47735743;3,308;100;Action,Adventure,Fantasy;nm0922346;director,producer,actor;0;3;1
Kung Fu Panda 2;47656302;3,925;90;Action,Adventure,Animation;nm0950775;art_department,animation_department,director;0;1;0
The Longest Yard;47606480;3,634;121;Comedy,Crime,Drama;nm0000736;director,assistant_director,producer;1;1;0
A Quiet Place Part II;47547231;3,726;97;Drama,Horror,Sci-Fi;nm1024677;actor,producer,director;0;1;0
Interstellar;47510360;3,561;169;Adventure,Drama,Sci-Fi;nm0634240;writer,producer,director;1;6;1
Madagascar;47224594;4,131;50;Drama;nm0702148;director,writer,actor;0;1;0
The Lord of the Rings: The Fellowship of the Ring;47211490;3,359;178;Action,Adventure,Drama;nm0001392;producer,director,writer;1;6;1
