name,openinggross,theathers
Oblivion,"$37,054,485","3,783"
Maleficent: Mistress of Evil,"$36,948,713","3,790"
Red Dragon,"$36,540,945","3,357"
Cowboys & Aliens,"$36,431,290","3,750"
Freddy vs. Jason,"$36,400,000","3,014"
Interview with the Vampire: The Vampire Chronicles,"$36,389,705","2,604"
Marley & Me,"$36,357,586","3,480"
21 Jump Street,"$36,302,612","3,121"
Kingsman: The Secret Service,"$36,206,331","3,204"
Jumanji: Welcome to the Jungle,"$36,169,328","3,765"
Alien: Covenant,"$36,160,621","3,761"
Ocean's Thirteen,"$36,133,403","3,565"
Dumb and Dumber To,"$36,111,775","3,154"
Armageddon,"$36,089,972","3,127"
The Scorpion King,"$36,075,875","3,444"
Robin Hood,"$36,063,385","3,503"
Robots,"$36,045,301","3,776"
The Equalizer 2,"$36,011,640","3,388"
Salt,"$36,011,243","3,612"
Star Wars: Episode IV - A New Hope1997 Special Edition,"$35,906,661","2,104"
"10,000 BC","$35,867,488","3,410"
Rampage,"$35,753,093","4,101"
Minority Report,"$35,677,125","3,001"
Sweet Home Alabama,"$35,648,740","3,293"
The Smurfs,"$35,611,637","3,395"
Creed II,"$35,574,710","3,441"
Battle Los Angeles,"$35,573,187","3,417"
The Other Guys,"$35,543,162","3,651"
Central Intelligence,"$35,535,250","3,508"
The World Is Not Enough,"$35,519,007","3,163"
Super 8,"$35,451,168","3,379"
Spider-Man: Into the Spider-Verse,"$35,363,376","3,813"
Teenage Mutant Ninja Turtles: Out of the Shadows,"$35,316,382","4,071"
Lilo & Stitch,"$35,260,212","3,191"
Sing,"$35,258,145","4,022"
Ride Along 2,"$35,243,095","3,175"
National Treasure,"$35,142,554","3,017"
The Ring Two,"$35,065,237","3,332"
Runaway Bride,"$35,055,556","3,158"
Sully,"$35,028,301","3,525"
Jungle Cruise,"$35,018,731","4,310"
Annabelle: Creation,"$35,006,404","3,502"
Mamma Mia! Here We Go Again,"$34,952,180","3,317"
The Expendables,"$34,825,135","3,270"
Gladiator,"$34,819,017","2,938"
Scream 3,"$34,713,342","3,467"
