"name","openinggross","theathers","tconst","titleType","originalTitle","isAdult","startYear","runtimeMinutes","genres","nconst","primaryName","primaryProfession","knownForTitles"
"Mr. Peabody & Sherman","$32,207,057",3934,"tt0864835","movie","Mr. Peabody & Sherman",FALSE,2014,92,"Adventure,Animation,Comedy","nm0591450","Rob Minkoff","producer,director,animation_department","tt0243585,tt0865556,tt0338094,tt0110357"
"Immortals","$32,206,425",3112,"tt0394588","tvEpisode","Immortals",FALSE,1996,NA,"Documentary","nm1562753,nm0816155,nm1612897,nm2649681",NA,NA,NA
"Wedding Crashers","$32,200,000",2925,"tt0396269","movie","Wedding Crashers",FALSE,2005,119,"Comedy,Romance","nm0229694","David Dobkin","producer,director,miscellaneous","tt0790736,tt1972591,tt1872194,tt8580274"
"Elf","$32,100,000",3337,"tt0319343","movie","Elf",FALSE,2003,97,"Adventure,Comedy,Family","nm0269463","Jon Favreau","producer,actor,writer","tt4154796,tt0117802,tt2883512,tt0371746"
"Jackass Presents: Bad Grandpa","$32,055,177",3336,"tt3063516","movie","Bad Grandpa",FALSE,2013,92,"Comedy","nm0871860","Jeff Tremaine","writer,producer,director","tt3063516,tt0800325,tt1116184,tt9684220"
"The SpongeBob SquarePants Movie","$32,018,216",3212,"tt0345950","movie","The SpongeBob SquarePants Movie",FALSE,2004,87,"Adventure,Animation,Comedy","nm0384864,nm0651706",NA,NA,NA
"Paul Blart: Mall Cop","$31,832,636",3144,"tt1114740","movie","Paul Blart: Mall Cop",FALSE,2009,91,"Action,Comedy,Crime","nm0139867","Steve Carr","director,producer","tt1333125,tt0317303,tt0195945,tt1114740"
"Terminator 2: Judgment Day","$31,765,506",2274,"tt0103064","movie","Terminator 2: Judgment Day",FALSE,1991,137,"Action,Sci-Fi","nm0000116","James Cameron","writer,producer,director","tt1630029,tt0499549,tt0120338,tt0103064"
"Saw IV","$31,756,764",3183,"tt0890870","movie","Saw IV",FALSE,2007,93,"Horror,Mystery,Thriller","nm1135423","Darren Lynn Bousman","director,producer,writer","tt0432348,tt1480285,tt10342730,tt0963194"
"Saw II","$31,725,652",2949,"tt0432348","movie","Saw II",FALSE,2005,93,"Horror,Mystery","nm1135423","Darren Lynn Bousman","director,producer,writer","tt0432348,tt1480285,tt10342730,tt0963194"
"G-Force","$31,706,934",3697,"tt0436339","movie","G-Force",FALSE,2009,88,"Action,Adventure,Animation","nm0947087","Hoyt Yeatman","visual_effects,director,writer","tt0120751,tt0436339,tt0091064,tt0096754"
"Godzilla vs. Kong","$31,625,971",3064,"tt14091030","tvEpisode","Godzilla vs. Kong",FALSE,2021,120,"Action,Sport","\N",NA,NA,NA
"Bad Teacher","$31,603,106",3049,"tt11608178","video","Bad Teacher",FALSE,2018,NA,"Comedy,Short","nm6372445","Mario Garza","director,writer,producer","tt14321398,tt7717468,tt15783410,tt15942562"
"The Truman Show","$31,542,121",2315,"tt0120382","movie","The Truman Show",FALSE,1998,103,"Comedy,Drama","nm0001837","Peter Weir","director,writer,producer","tt0097165,tt1023114,tt0311113,tt0090329"
"The Purge: Election Year","$31,515,110",2796,"tt4094724","movie","The Purge: Election Year",FALSE,2016,108,"Action,Horror,Sci-Fi","nm0218621","James DeMonaco","writer,producer,director","tt2184339,tt4094724,tt2975578,tt6133466"
"The Wolfman","$31,479,235",3222,"tt0395812","short","The Wolfman",FALSE,1966,8,"Horror,Short","\N",NA,NA,NA
"Ford v Ferrari","$31,474,958",3528,"tt11266472","tvEpisode","Ford v Ferrari",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Liar Liar","$31,423,025",2845,"tt0119528","movie","Liar Liar",FALSE,1997,86,"Comedy,Fantasy","nm0001723","Tom Shadyac","producer,director,actor","tt0117218,tt0259288,tt1741225,tt0109040"
"Percy Jackson & the Olympians: The Lightning Thief","$31,236,067",3356,"tt0814255","movie","Percy Jackson & the Olympians: The Lightning Thief",FALSE,2010,118,"Adventure,Family,Fantasy","nm0001060","Chris Columbus","producer,writer,director","tt0294870,tt1454029,tt0241527,tt0295297"
"Elvis","$31,211,579",3906,"tt0079103","tvMovie","Elvis",FALSE,1979,168,"Biography,Drama,Music","nm0000118","John Carpenter","soundtrack,writer,music_department","tt0082340,tt0069945,tt0080749,tt0077651"
"Girls Trip","$31,201,920",2591,"tt11457528","tvEpisode","Girls Trip",TRUE,2018,NA,"Adult","\N",NA,NA,NA
"Evan Almighty","$31,192,615",3604,"tt0413099","movie","Evan Almighty",FALSE,2007,96,"Comedy,Family,Fantasy","nm0001723","Tom Shadyac","producer,director,actor","tt0117218,tt0259288,tt1741225,tt0109040"
"The Sum of All Fears","$31,178,526",3183,"tt0164184","movie","The Sum of All Fears",FALSE,2002,124,"Action,Drama,Thriller","nm0004675","Phil Alden Robinson","writer,director,producer","tt0164184,tt0097351,tt0105435,tt0213668"
"Home Alone 2: Lost in New York","$31,126,882",2222,"tt0104431","movie","Home Alone 2: Lost in New York",FALSE,1992,120,"Adventure,Comedy,Crime","nm0001060","Chris Columbus","producer,writer,director","tt0294870,tt1454029,tt0241527,tt0295297"
"Hannah Montana and Miley Cyrus: Best of Both Worlds Concert","$31,117,834",683,"tt1127884","movie","Hannah Montana and Miley Cyrus: Best of Both Worlds Concert",FALSE,2008,74,"Documentary,Music","nm0376712","Bruce Hendricks","production_manager,producer,director","tt0213149,tt0449088,tt0383574,tt0325980"
